# Acidic behaviour of the elements
# 0 means acidic
# 1 means basic
# 2 means neutral
# 3 means amphoteric
#
# Sources: ??
# License: The MIT License
1 1
2 1
3 0
4 2
5 3
6 3
7 3
8 3
9 3
10 1
11 0
12 0
13 2
14 3
15 3
16 3
17 3
18 1
19 0
20 0
21 0
22 2
23 2
24 2
25 2
26 2
27 2
28 0
29 0
30 2
31 2
32 2
33 2
34 3
35 3
36 1
37 0
38 0
39 0
40 2
41 2
42 2
43 2
44 2
45 0
46 0
47 0
48 0
49 2
50 2
51 2
52 2
53 3
54 1
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 2
73 2
74 2
75 2
76 2
77 0
78 0
79 0
80 0
81 2
82 2
83 0
84 2
85 3
86 1
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 2
105 2
106 2
107 2
108 2
109 0
110 0
111 0
