# Element colors (for molecular representations)
# Columns represent the atomic number, followed by R G B values (0.0 .. 1.0)
#
# Sources: Open Babel, Ghemical, Jmol consensus
# License: The MIT License
0 0.07 0.50 0.70
1 1.00 1.00 1.00
2 0.85 1.00 1.00
3 0.80 0.50 1.00
4 0.76 1.00 0.00
5 1.00 0.71 0.71
6 0.50 0.50 0.50
7 0.05 0.05 1.00
8 1.00 0.05 0.05
9 0.70 1.00 1.00
10 0.70 0.89 0.96
11 0.67 0.36 0.95
12 0.54 1.00 0.00
13 0.75 0.65 0.65
14 0.50 0.60 0.60
15 1.00 0.50 0.00
16 1.00 1.00 0.19
17 0.12 0.94 0.12
18 0.50 0.82 0.89
19 0.56 0.25 0.83
20 0.24 1.00 0.00
21 0.90 0.90 0.90
22 0.75 0.76 0.78
23 0.65 0.65 0.67
24 0.54 0.60 0.78
25 0.61 0.48 0.78
26 0.50 0.48 0.78
27 0.44 0.48 0.78
28 0.36 0.48 0.76
29 1.00 0.48 0.38
30 0.49 0.50 0.69
31 0.76 0.56 0.56
32 0.40 0.56 0.56
33 0.74 0.50 0.89
34 1.00 0.63 0.00
35 0.65 0.16 0.16
36 0.36 0.72 0.82
37 0.44 0.18 0.69
38 0.00 1.00 0.00
39 0.58 1.00 1.00
40 0.58 0.88 0.88
41 0.45 0.76 0.79
42 0.33 0.71 0.71
43 0.23 0.62 0.62
44 0.14 0.56 0.56
45 0.04 0.49 0.55
46 0.00 0.41 0.52
47 0.88 0.88 1.00
48 1.00 0.85 0.56
49 0.65 0.46 0.45
50 0.40 0.50 0.50
51 0.62 0.39 0.71
52 0.83 0.48 0.00
53 0.58 0.00 0.58
54 0.26 0.62 0.69
55 0.34 0.09 0.56
56 0.00 0.79 0.00
57 0.44 0.83 1.00
58 1.00 1.00 0.78
59 0.85 1.00 0.78
60 0.78 1.00 0.78
61 0.64 1.00 0.78
62 0.56 1.00 0.78
63 0.38 1.00 0.78
64 0.27 1.00 0.78
65 0.19 1.00 0.78
66 0.12 1.00 0.78
67 0.00 1.00 0.61
68 0.00 0.90 0.46
69 0.00 0.83 0.32
70 0.00 0.75 0.22
71 0.00 0.67 0.14
72 0.30 0.76 1.00
73 0.30 0.65 1.00
74 0.13 0.58 0.84
75 0.15 0.49 0.67
76 0.15 0.40 0.59
77 0.09 0.33 0.53
78 0.96 0.93 0.82
79 0.80 0.82 0.12
80 0.71 0.71 0.76
81 0.65 0.33 0.30
82 0.34 0.35 0.38
83 0.62 0.31 0.71
84 0.67 0.36 0.00
85 0.46 0.31 0.27
86 0.26 0.51 0.59
87 0.26 0.00 0.40
88 0.00 0.49 0.00
89 0.44 0.67 0.98
90 0.00 0.73 1.00
91 0.00 0.63 1.00
92 0.00 0.56 1.00
93 0.00 0.50 1.00
94 0.00 0.42 1.00
95 0.33 0.36 0.95
96 0.47 0.36 0.89
97 0.54 0.31 0.89
98 0.63 0.21 0.83
99 0.70 0.12 0.83
100 0.70 0.12 0.73
101 0.70 0.05 0.65
102 0.74 0.05 0.53
103 0.78 0.00 0.40
104 0.80 0.00 0.35
105 0.82 0.00 0.31
106 0.85 0.00 0.27
107 0.88 0.00 0.22
108 0.90 0.00 0.18
109 0.91 0.00 0.15
110 0.92 0.00 0.14
111 0.93 0.00 0.13
112 0.94 0.00 0.12
113 0.95 0.00 0.11
114 0.96 0.00 0.10
115 0.97 0.00 0.09
116 0.98 0.00 0.08
117 0.99 0.00 0.07
118 1.00 0.00 0.06
