# You can part the elements into nine families:
#Alkali_Earth
#Alkaline_Earth
#Non-Metal
#Metalloids
#Transition
#Other_Metal
#Halogene (group 7)
#Noblegas (group 8)
#Rare_Earth (the so called f-Block)
#
# Sources: ??
# License: The MIT License
1 Non-Metal
2 Noblegas
3 Alkali_Earth
4 Alkaline_Earth
5 Metalloids
6 Non-Metal
7 Non-Metal
8 Non-Metal
9 Halogene
10 Noblegas
11 Alkali_Earth
12 Alkaline_Earth
13 Other_Metal
14 Metalloids
15 Non-Metal
16 Non-Metal
17 Halogene
18 Noblegas
19 Alkali_Earth
20 Alkaline_Earth
21 Transition
22 Transition
23 Transition
24 Transition
25 Transition
26 Transition
27 Transition
28 Transition
29 Transition
30 Transition
31 Other_Metal
32 Metalloids
33 Metalloids
34 Non-Metal
35 Halogene
36 Noblegas
37 Alkali_Earth
38 Alkaline_Earth
39 Transition
40 Transition
41 Transition
42 Transition
43 Transition
44 Transition
45 Transition
46 Transition
47 Transition
48 Transition
49 Other_Metal
50 Other_Metal
51 Metalloids
52 Metalloids
53 Halogene
54 Noblegas
55 Alkali_Earth
56 Alkaline_Earth
57 Rare_Earth
58 Rare_Earth
59 Rare_Earth
60 Rare_Earth
61 Rare_Earth
62 Rare_Earth
63 Rare_Earth
64 Rare_Earth
65 Rare_Earth
66 Rare_Earth
67 Rare_Earth
68 Rare_Earth
69 Rare_Earth
70 Rare_Earth
71 Rare_Earth
72 Transition
73 Transition
74 Transition
75 Transition
76 Transition
77 Transition
78 Transition
79 Transition
80 Transition
81 Other_Metal
82 Other_Metal
83 Other_Metal
84 Metalloids
85 Halogene
86 Noblegas
87 Alkali_Earth
88 Alkaline_Earth
89 Other_Metal
90 Other_Metal
91 Other_Metal
92 Other_Metal
93 Other_Metal
94 Other_Metal
95 Other_Metal
96 Other_Metal
97 Other_Metal
98 Other_Metal
99 Other_Metal
100 Other_Metal
101 Other_Metal
102 Other_Metal
103 Other_Metal
104 Transition
105 Transition
106 Transition
107 Transition
108 Transition
109 Transition
110 Transition
111 Transition
