# The numbers stand for the group the element is in. It is easy to calculate the 
# official naming (CAS, IUPAC or old IUPAC) if you combine this information with
# the block (if the block is 'd', '1' because 1b for example).
#
# Sources: ??
# License: The MIT License
1 1
2 8
3 1
4 2
5 3
6 4
7 5
8 6
9 7
10 8
11 1
12 2
13 3
14 4
15 5
16 6
17 7
18 8
19 1
20 2
21 3
22 4
23 5
24 6
25 7
26 8
27 8
28 8
29 1
30 2
31 3
32 4
33 5
34 6
35 7
36 8
37 1
38 2
39 3
40 4
41 5
42 6
43 7
44 8
45 8
46 8
47 1
48 2
49 3
50 4
51 5
52 6
53 7
54 8
55 1
56 2
57 3
58 4
59 5
60 6
61 7
62 8
63 8
64 8
65 1
66 2
67 3
68 4
69 5
70 6
71 7
72 4
73 5
74 6
75 7
76 8
77 8
78 8
79 1
80 2
81 3
82 4
83 5
84 6
85 7
86 8
87 1
88 2
89 3
90 4
91 5
92 6
93 7
94 8
95 8
96 8
97 1
98 2
99 3
100 4
101 5
102 6
103 7
104 4
105 5
106 6
107 7
108 8
109 8
110 8
111 1
