# Ionization potentials for the elements
# Columns represent the atomic number, the element symbol, and the ionization potential (in electron volts)
#
# Sources: see ionization.bibxml
# License: The MIT License
1 H 13.5984
2 He 24.5874
3 Li 5.3917
4 Be 9.3227
5 B 8.2980
6 C 11.2603
7 N 14.5341
8 O 13.6181
9 F 17.4228
10 Ne 21.5645
11 Na 5.1391
12 Mg 7.6462
13 Al 5.9858
14 Si 8.1517
15 P 10.4867
16 S 10.3600
17 Cl 12.9676
18 Ar 15.7596
19 K 4.3407
20 Ca 6.1132
21 Sc 6.5615
22 Ti 6.8281
23 V 6.7462
24 Cr 6.7665
25 Mn 7.4340
26 Fe 7.9024
27 Co 7.8810
28 Ni 7.6398
29 Cu 7.7264
30 Zn 9.3942
31 Ga 5.9993
32 Ge 7.8994
33 As 9.7886
34 Se 9.7524
35 Br 11.8138
36 Kr 13.9996
37 Rb 4.1771
38 Sr 5.6949
39 Y 6.2173
40 Zr 6.6339
41 Nb 6.7589
42 Mo 7.0924
43 Tc 7.28
44 Ru 7.3605
45 Rh 7.4589
46 Pd 8.3369
47 Ag 7.5762
48 Cd 8.9938
49 In 5.7864
50 Sn 7.3439
51 Sb 8.6084
52 Te 9.0096
53 I 10.4513
54 Xe 12.1298
55 Cs 3.8939
56 Ba 5.2117
57 La 5.5769
58 Ce 5.5387
59 Pr 5.473
60 Nd 5.5250
61 Pm 5.582 
62 Sm 5.6437
63 Eu 5.6704
64 Gd 6.1498
65 Tb 5.8638
66 Dy 5.9389
67 Ho 6.0215
68 Er 6.1077
69 Tm 6.1843
70 Yb 6.2542
71 Lu 5.4259
72 Hf 6.8251
73 Ta 7.5496
74 W 7.8640
75 Re 7.8335
76 Os 8.4382
77 Ir 8.9670
78 Pt 8.9588
79 Au 9.2255
80 Hg 10.4375
81 Tl 6.1082
82 Pb 7.4167
83 Bi 7.2855
84 Po 8.414
85 At 0
86 Rn 10.7485
87 Fr 4.0727
88 Ra 5.2784
89 Ac 5.17
90 Th 6.3067
91 Pa 5.89
92 U 6.1941
93 Np 6.2657
94 Pu 6.0260
95 Am 5.9738
96 Cm 5.9914
97 Bk 6.1979
98 Cf 6.2817
99 Es 6.42
100 Fm 6.50
101 Md 6.58
102 No 6.65
103 Lr 4.9
104 Rf 6.0
